AX,AY,AZ,GX,GY,GZ,MX,MY,MZ
368.0,13488.0,2513.0,264.0,-233.0,324.0,10254.0,17218.0,14880.0
19211111.0,16224221.0,4123047.0,6158222.0,3990617.0,14005413.0,26053327.0,42937916.0,26594801.0
50633260.0,8277012.0,9915572.0,901423.0,338689.0,1526167.0,46596212.0,22156119.0,20192544.0
1.33458770684e+14,6.33258818793e+13,2.90512816513e+13,9.00603116964e+13,4.30013432757e+13,8.15118275985e+13,3.14417171086e+14,3.37336678589e+14,3.92466778598e+14
9855.0,22681.0,6681.0,6373.0,3071.0,7935.0,21685.0,29277.0,25720.0
