AX,AY,AZ,GX,GY,GZ,MX,MY,MZ
-11886.0,10537.0,2152.0,699.0,-559.0,-97.0,19966.0,18207.0,16310.0
6586268.0,6795874.0,8451803.0,25604205.0,30042820.0,7681879.0,36595548.0,52137593.0,69348394.0
496890.0,564203.0,871736.0,6744116.0,7427477.0,552748.0,24061081.0,19422534.0,9284330.0
1.13415579835e+13,1.45773549271e+13,1.61210613369e+13,6.31542829532e+14,4.13497676377e+14,1.85635995925e+13,3.38411075467e+14,7.54066779491e+14,6.60837244635e+14
-6438.0,15999.0,7460.0,12708.0,8502.0,5814.0,30272.0,30254.0,31153.0
