AX,AY,AZ,GX,GY,GZ,MX,MY,MZ
-12469.0,10083.0,1930.0,-514.0,61.0,442.0,11978.0,12657.0,22805.0
7045150.0,9650623.0,1047229.0,2660351.0,1663670.0,4494931.0,22502087.0,50179183.0,29495985.0
4511295.0,5072086.0,894683.0,2327491.0,523604.0,1386514.0,47871629.0,21258045.0,8982070.0
1.42696519191e+13,1.95892348094e+13,2.8648637064e+12,2.41358265166e+13,1.10857069857e+13,1.02979022954e+13,2.24930956472e+14,1.03327276305e+15,1.10656707485e+15
-5810.0,16501.0,3583.0,2500.0,2874.0,4115.0,21258.0,25453.0,31246.0
